id,name,authors,original_price,price,categories,all_time_quantity_sold,rating_average,review_count,pages,manuafacture
46755107,2500 Từ Vựng Cần Thiết Cho Kỳ Thi Năng Lực Nhật Ngữ N2,Arc Academy,135000,103000,Luyện thi N2,1854,5,157,306.00,NXB Trẻ
136753126,Tôi Đã Kiếm 1 Triệu Đô Đầu Tiên Trên Internet Như Thế Nào Và Bạn Cũng Có Thể Làm Như Thế (Tái Bản),Ewen Chia,199000,150000,Sách khởi nghiệp,140,4.8,11,488.00,Nhà Xuất Bản Công Thương
95090180, Bút dấu dòng dạ quang Deli – 6 chiếc/ hộp - S624,,52200,29000,Bút dạ quang,1858,5,339,,
85242387,Chuyện Lạ Ở Bệnh Viện Tư Nhân Hiệp Tế Đường Đồng Hoa Trung,Nam Lăng,149000,103000,Truyện Chữ Đam Mỹ,2179,5,993,468.00,Nhà Xuất Bản Hà Nội
191353862,Green Witchcraft - Năng lượng từ thảo mộc,,149000,134000,Phật giáo,,0,0,,Nhà Xuất Bản Thanh Niên
112588572,Yêu Trong Tỉnh Thức - Từ Bạn Đời Đến Bạn Đạo Tập 1,Tuệ An,185000,185000,Sách Hôn Nhân - Giới Tính,1230,5,139,237.00,Nhà Xuất Bản Hồng Đức
73222804,Sách Putin Logic Của Quyền Lực (Tái Bản 2020),Hubert Seipel,168000,112000,Sách tiếng Việt,969,5,185,384.00,Nhà Xuất Bản Tổng hợp TP.HCM
172800656,Komi - Nữ Thần Sợ Giao Tiếp Tập 8 [Tặng kèm Card bo góc Nữ thần],Tomohito Oda,25000,22000,"Truyện Tranh, Manga, Comic",1504,4.8,307,192.00,Nhà Xuất Bản Kim Đồng
870619,Túp Lều Bác Tom,Harriet Beecher Stowe,110000,66000,Tác Phẩm Kinh Điển Nước Ngoài,2198,5,272,507.00,Nhà Xuất Bản Văn Học
190592917,"Combo 2 Quyển: Thiên Tài Bên Trái, Kẻ Điên Bên Phải + Tâm Lý Học Tội Phạm: Phác Họa Chân Dung Kẻ Phạm Tội",Nhiều tác giả,324000,223000,Sách tư duy - Kỹ năng sống,522,5,92,280.00,Nhà Xuất Bản Thế Giới
520337,Luật Im Lặng (Mario Puzo),Mario Puzo,95000,66500,Truyện ngắn - Tản văn - Tạp Văn Nước Ngoài,3746,4.8,405,372.00,Nhà Xuất Bản Văn Học
91120169,Homecoming - Hồi Sinh Đứa Trẻ Bên Trong Bạn,John Bradshaw,169000,119000,Sách giáo dục,1524,5,241,448.00,Nhà Xuất Bản Lao Động
109982956,Leonardo Da Vinci - Thiên Tài Toàn Năng,Rasmus Hoài Nam,60000,41300,Kiến thức - Bách khoa,415,4.8,60,174.00,Nhà Xuất Bản Thanh Niên
194959697,Thánh Hiệp Sĩ Nơi Tận Cùng Thế Giới – Tập 1,Kanata Yanagino,145000,116000,Light novel,123,5,37,336.00,Nhà Xuất Bản Phụ Nữ Việt Nam
195801643,Cà Phê Cùng Tony (Tái Bản 2022),Tony Buổi Sáng,105000,73400,Truyện ngắn - Tản văn - Tạp Văn Nước Ngoài,633,5,55,268.00,NXB Trẻ
191148787,Green Witchcraft - Năng lượng từ thảo mộc,Paige Vanderbeck,149000,109000,Root,333,5,41,268.00,Nhà Xuất Bản Thanh Niên
91774356,Fullmetal Alchemist - Cang Giả Kim Thuật Sư - Fullmetal Edition Tập 8,Hiromu Arakawa,69000,67000,"Truyện Tranh, Manga, Comic",182,5,27,,Nhà Xuất Bản Kim Đồng
